Date,Close,Dividends,High,Low,Open,Stock Splits,Volume,Adj Close
2023-10-16,1921.0999755859375,0.0,1921.0999755859375,1910.300048828125,1910.4000244140625,1.0,53,1921.0999755859375
2023-10-17,1922.699951171875,0.0,1925.800048828125,1914.300048828125,1914.300048828125,1.0,103,1922.699951171875
2023-10-18,1955.300048828125,0.0,1957.9000244140625,1935.0,1935.0,1.0,67,1955.300048828125
2023-10-19,1968.4000244140625,0.0,1977.699951171875,1945.699951171875,1950.0999755859375,1.0,1945,1968.4000244140625
2023-10-20,1982.5,0.0,1988.5999755859375,1980.4000244140625,1981.0999755859375,1.0,557,1982.5
2023-10-23,1976.300048828125,0.0,1978.9000244140625,1972.9000244140625,1976.199951171875,1.0,127,1976.300048828125
2023-10-24,1975.0,0.0,1975.0,1970.300048828125,1970.300048828125,1.0,10,1975.0
2023-10-25,1984.0999755859375,0.0,1985.300048828125,1971.199951171875,1971.199951171875,1.0,97,1984.0999755859375
2023-10-26,1987.199951171875,0.0,1988.199951171875,1980.4000244140625,1988.199951171875,1.0,521,1987.199951171875
2023-10-27,1988.5999755859375,0.0,1988.5999755859375,1988.5999755859375,1988.5999755859375,1.0,372,1988.5999755859375
2023-10-30,1996.199951171875,0.0,2004.0999755859375,1992.5,2004.0999755859375,1.0,157,1996.199951171875
2023-10-31,1985.199951171875,0.0,2001.0,1983.699951171875,1996.5,1.0,84,1985.199951171875
2023-11-01,1978.800048828125,0.0,1990.5,1977.800048828125,1990.5,1.0,41,1978.800048828125
2023-11-02,1985.5999755859375,0.0,1990.300048828125,1979.5,1989.0999755859375,1.0,39,1985.5999755859375
2023-11-03,1991.5,0.0,1991.5,1989.0,1989.0,1.0,12,1991.5
2023-11-06,1981.5999755859375,0.0,1981.5999755859375,1977.4000244140625,1981.5999755859375,1.0,130,1981.5999755859375
2023-11-07,1966.800048828125,0.0,1966.800048828125,1960.699951171875,1966.5,1.0,20,1966.800048828125
2023-11-08,1951.5,0.0,1967.800048828125,1947.699951171875,1967.800048828125,1.0,43,1951.5
2023-11-09,1964.199951171875,0.0,1964.199951171875,1945.300048828125,1951.699951171875,1.0,10,1964.199951171875
2023-11-10,1932.5999755859375,0.0,1959.5999755859375,1932.5999755859375,1959.5999755859375,1.0,375,1932.5999755859375
2023-11-13,1945.5,0.0,1947.199951171875,1934.0,1939.9000244140625,1.0,191,1945.5
2023-11-14,1961.800048828125,0.0,1965.800048828125,1961.800048828125,1965.800048828125,1.0,2,1961.800048828125
2023-11-15,1960.0999755859375,0.0,1962.800048828125,1960.0,1962.800048828125,1.0,6,1960.0999755859375
2023-11-16,1983.9000244140625,0.0,1983.9000244140625,1964.5999755859375,1965.300048828125,1.0,39,1983.9000244140625
2023-11-17,1981.5999755859375,0.0,1984.0,1979.800048828125,1982.5,1.0,32,1981.5999755859375
2023-11-20,1977.699951171875,0.0,1979.4000244140625,1969.699951171875,1978.699951171875,1.0,182,1977.699951171875
2023-11-21,1999.300048828125,0.0,2005.5,1988.5,1990.699951171875,1.0,16,1999.300048828125
2023-11-22,1991.4000244140625,0.0,1999.4000244140625,1991.0,1999.0999755859375,1.0,6075,1991.4000244140625
2023-11-24,2002.199951171875,0.0,2002.199951171875,1991.5,1991.9000244140625,1.0,63,2002.199951171875
2023-11-27,2011.800048828125,0.0,2011.800048828125,2011.699951171875,2011.699951171875,1.0,228,2011.800048828125
2023-11-28,2039.699951171875,0.0,2042.699951171875,2039.699951171875,2040.5999755859375,1.0,174665,2039.699951171875
2023-11-29,2047.0999755859375,0.0,2052.10009765625,2036.0,2041.699951171875,1.0,15290,2047.0999755859375
2023-11-30,2038.0999755859375,0.0,2047.0999755859375,2033.0999755859375,2046.0999755859375,1.0,2506,2038.0999755859375
2023-12-01,2071.0,0.0,2073.199951171875,2036.0,2038.300048828125,1.0,614,2071.0
2023-12-04,2024.0999755859375,0.0,2130.199951171875,2021.0,2075.300048828125,1.0,1071,2024.0999755859375
2023-12-05,2018.5,0.0,2037.0,2010.199951171875,2035.0999755859375,1.0,289,2018.5
2023-12-06,2030.5,0.0,2035.800048828125,2019.0,2019.9000244140625,1.0,417,2030.5
2023-12-07,2029.9000244140625,0.0,2034.9000244140625,2024.0,2029.199951171875,1.0,67,2029.9000244140625
2023-12-08,1998.300048828125,0.0,2033.0999755859375,1995.0,2031.699951171875,1.0,449,1998.300048828125
2023-12-11,1978.0,0.0,2004.199951171875,1977.199951171875,2004.0999755859375,1.0,651,1978.0
2023-12-12,1977.800048828125,0.0,1994.199951171875,1977.800048828125,1984.199951171875,1.0,95,1977.800048828125
2023-12-13,1982.300048828125,0.0,2024.800048828125,1975.0,1978.5,1.0,2252,1982.300048828125
2023-12-14,2030.199951171875,0.0,2040.0999755859375,2024.300048828125,2024.699951171875,1.0,236,2030.199951171875
2023-12-15,2021.0999755859375,0.0,2043.4000244140625,2018.300048828125,2032.5999755859375,1.0,261,2021.0999755859375
2023-12-18,2026.300048828125,0.0,2032.800048828125,2024.0,2024.300048828125,1.0,100,2026.300048828125
2023-12-19,2038.4000244140625,0.0,2042.699951171875,2025.199951171875,2025.199951171875,1.0,498,2038.4000244140625
2023-12-20,2034.5,0.0,2037.0999755859375,2030.300048828125,2037.0999755859375,1.0,258,2034.5
2023-12-21,2039.0999755859375,0.0,2044.5,2033.0,2035.800048828125,1.0,228,2039.0999755859375
2023-12-22,2057.10009765625,0.0,2068.699951171875,2052.199951171875,2055.699951171875,1.0,202,2057.10009765625
2023-12-26,2058.199951171875,0.0,2060.800048828125,2054.199951171875,2060.0,1.0,64,2058.199951171875
2023-12-27,2081.89990234375,0.0,2081.89990234375,2064.800048828125,2067.300048828125,1.0,586,2081.89990234375
2023-12-28,2073.89990234375,0.0,2087.300048828125,2066.5,2081.60009765625,1.0,338,2073.89990234375
2023-12-29,2062.39990234375,0.0,2068.89990234375,2062.10009765625,2068.0,1.0,47,2062.39990234375
2024-01-02,2064.39990234375,0.0,2073.699951171875,2057.10009765625,2063.5,1.0,61,2064.39990234375
2024-01-03,2034.199951171875,0.0,2044.0,2034.199951171875,2034.199951171875,1.0,54,2034.199951171875
2024-01-04,2042.300048828125,0.0,2044.5,2038.0,2041.5999755859375,1.0,88,2042.300048828125
2024-01-05,2042.4000244140625,0.0,2048.10009765625,2042.4000244140625,2044.5,1.0,12,2042.4000244140625
2024-01-08,2026.5999755859375,0.0,2033.699951171875,2019.0999755859375,2019.0999755859375,1.0,10,2026.5999755859375
2024-01-09,2026.4000244140625,0.0,2035.800048828125,2026.4000244140625,2035.800048828125,1.0,27,2026.4000244140625
2024-01-10,2021.699951171875,0.0,2035.5999755859375,2021.699951171875,2029.0,1.0,538,2021.699951171875
2024-01-11,2014.300048828125,0.0,2025.0999755859375,2014.300048828125,2025.0999755859375,1.0,97,2014.300048828125
2024-01-12,2046.699951171875,0.0,2057.0,2031.0999755859375,2031.0999755859375,1.0,390,2046.699951171875
